Canal de Origem,Região,UF,Sexo,Faixa Etária,Ano Abertura,Mês Abertura,Segmento de Mercado,Área,Assunto,Grupo Problema,Problema,Como Comprou Contratou,Procurou Empresa,target_resolvida
Plataforma Web,S,PR,F,entre 21 a 30 anos,2020.0,8.0,Empresas de Serviços Postais e Logística,Demais Serviços,Serviços Postais,Entrega do Produto,Não entrega / demora na entrega do produto,Loja física,S,0
Plataforma Web,SE,RJ,M,entre 21 a 30 anos,2023.0,11.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Conta corrente / Salário / Poupança /Conta Aposentadoria,Vício de Qualidade,Bloqueio / Suspensão indevida do serviço,Internet,S,0
Plataforma Web,SE,SP,M,entre 31 a 40 anos,2020.0,6.0,Não informado,Telecomunicações,Pacote de Serviços ( Combo ),Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Telefone,S,0
Plataforma Web,SE,RJ,M,entre 51 a 60 anos,2023.0,9.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,S,0
Não informado,SE,SP,M,entre 31 a 40 anos,Não informado,Não informado,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Internet Fixa,Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Telefone,N,1
Plataforma Web,SE,SP,F,entre 51 a 60 anos,2018.0,6.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Móvel Pós-paga,Cobrança / Contestação,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,Telefone,S,1
Plataforma Web,SE,RJ,F,entre 41 a 50 anos,2023.0,7.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Móvel Pós-paga,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Internet,S,1
Plataforma Web,SE,RJ,F,entre 51 a 60 anos,2020.0,6.0,Não informado,Produtos Eletrodomésticos e Eletrônicos,"Eletroportáteis ( batedeira, liquidificador, umidificador, secador, cafeteira etc )",Cobrança / Contestação,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,S,0
Plataforma Web,SE,ES,M,entre 41 a 50 anos,2020.0,9.0,Transporte Aéreo,Transportes,Cargas e Encomendas,Entrega do Produto,Não entrega / demora na entrega do produto,Internet,S,1
Não informado,SE,RJ,F,entre 21 a 30 anos,Não informado,Não informado,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Móvel Pós-paga,Cobrança / Contestação,Cobrança após cancelamento do serviço,Telefone,S,1
Não informado,SE,ES,M,até 20 anos,Não informado,Não informado,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Conta corrente / Salário / Poupança /Conta Aposentadoria,Atendimento / SAC,SAC - Demanda não resolvida / não respondida / respondida após o prazo,Loja física,S,0
Plataforma Web,SE,RJ,M,entre 21 a 30 anos,2019.0,12.0,Não informado,Telecomunicações,Pacote de Serviços ( Combo ),Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Não comprei / contratei,S,1
Plataforma Web,S,RS,M,entre 41 a 50 anos,2020.0,3.0,Não informado,Serviços Financeiros,Conta corrente / Salário / Poupança /Conta Aposentadoria,Vício de Qualidade,"Dificuldade de pagamento, saque, depósito, transferência",Internet,S,1
Plataforma Web,S,SC,F,entre 21 a 30 anos,2024.0,6.0,"Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática",Produtos de Telefonia e Informática,"Acessórios e periféricos (monitor, impressora, pendrive, hd externo, cd dvd, outras midias, roteador, software, scanner etc)",Vício de Qualidade,Produto danificado / não funciona - Falta de assistência técnica / falta de informações sobre assistência técnica,Internet,S,0
Plataforma Web,SE,RJ,F,entre 41 a 50 anos,2021.0,1.0,Fabricantes - Linha Branca,Produtos Eletrodomésticos e Eletrônicos,Refrigerador / freezer,Vício de Qualidade,Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia,Internet,S,1
Plataforma Web,CO,MS,F,entre 21 a 30 anos,2017.0,1.0,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,"Banco de Dados e Cadastros de Consumidores (SPC, Serasa, SCPC etc)",Informação,Dificuldade de acesso a dados pessoais ou financeiros (score),Internet,N,1
Plataforma Web,CO,MT,F,entre 21 a 30 anos,2023.0,1.0,"Viagens, Turismo e Hospedagem",Turismo/Viagens,Pacote / excursão / agência de turismo,Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,S,0
Plataforma Android,SE,SP,M,entre 41 a 50 anos,2020.0,6.0,Não informado,Telecomunicações,Telefonia Móvel Pós-paga,Atendimento / SAC,SAC - Dificuldadede de contato / acesso,Telefone,N,1
Plataforma Web,S,PR,M,entre 31 a 40 anos,2024.0,11.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Cobrança / Contestação,"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",Loja física,S,0
Plataforma Web,SE,SP,M,entre 31 a 40 anos,2018.0,6.0,Transporte Aéreo,Transportes,Cargas e Encomendas,Vício de Qualidade,"Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações)",Loja física,S,0
Plataforma Web,SE,RJ,F,entre 31 a 40 anos,2024.0,5.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Internet Fixa,Cobrança / Contestação,Cobrança após cancelamento do serviço,Internet,S,1
Plataforma Web,NE,CE,F,entre 31 a 40 anos,2023.0,8.0,Empresas de Serviços Postais e Logística,Demais Serviços,Serviços Postais,Entrega do Produto,Não entrega / demora na entrega do produto,Internet,S,1
Plataforma Web,S,SC,M,entre 41 a 50 anos,2023.0,7.0,Transporte Aéreo,Transportes,Aéreo,Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Não comprei / contratei,S,0
Plataforma Web,NE,MA,M,entre 31 a 40 anos,2023.0,6.0,Empresas de Pagamento Eletrônico,Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cobrança / Contestação,Cobrança de compra/saque não reconhecido,Não comprei / contratei,S,0
Plataforma Web,SE,MG,F,entre 41 a 50 anos,2021.0,10.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Contrato / Oferta,Não entrega do contrato ou documentação relacionada ao serviço,Não comprei / contratei,S,0
Plataforma Web,SE,SP,F,entre 61 a 70 anos,2022.0,1.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Telefone,S,1
Plataforma Web,NE,CE,F,entre 31 a 40 anos,2023.0,7.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Internet Móvel,Cobrança / Contestação,Cobrança em duplicidade / Cobrança referente a pagamento já efetuado,Telefone,S,1
Plataforma Web,SE,SP,F,entre 21 a 30 anos,2015.0,10.0,Comércio Eletrônico,Produtos de Telefonia e Informática,Aparelho celular,Entrega do Produto,Não entrega / demora na entrega do produto,Internet,S,0
Plataforma Web,S,RS,F,entre 31 a 40 anos,2016.0,9.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Móvel Pós-paga,Cobrança / Contestação,Cobrança após cancelamento do serviço,Loja física,S,1
Plataforma Web,SE,MG,M,entre 21 a 30 anos,2021.0,12.0,Empresas de Pagamento Eletrônico,Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Contrato / Oferta,Dificuldade para contratar / recusa injustificada,Não comprei / contratei,S,0
Plataforma Web,NE,BA,M,entre 61 a 70 anos,2021.0,3.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Móvel Pré-paga,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Loja física,S,1
Plataforma Web,SE,RJ,M,entre 21 a 30 anos,2020.0,8.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Internet Fixa,Atendimento / SAC,SAC - Dificuldadede de contato / acesso,Telefone,S,1
Plataforma Web,SE,SP,F,entre 31 a 40 anos,2024.0,7.0,Operadoras de Planos de Saúde e Administradoras de Benefícios,Saúde,"Plano Odontológico (convênio, autogestão, seguro saúde )",Informação,Informações incompletas / inadequadas sobre o serviço,Não comprei / contratei,S,0
Não informado,SE,SP,M,entre 41 a 50 anos,Não informado,Não informado,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Cobrança / Contestação,Renegociação / parcelamento de dívida,Loja física,S,1
Plataforma Web,NE,BA,M,entre 61 a 70 anos,2024.0,3.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado (para servidores públicos ou trabalhadores do setor privado),Atendimento / SAC,SAC - Dificuldade para cancelar o serviço,Telefone,S,1
Plataforma Web,SE,RJ,M,entre 21 a 30 anos,2024.0,4.0,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,Cobrança / Contestação,Negativação indevida referente à pagamento já efetuado,Internet,N,0
Não identificado,S,PR,M,entre 21 a 30 anos,2014.0,7.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,TV por Assinatura,Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Telefone,S,1
Plataforma Web,SE,ES,M,entre 31 a 40 anos,2024.0,3.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cobrança / Contestação,Renegociação / parcelamento de dívida,Telefone,S,0
Plataforma Android,NE,AL,M,até 20 anos,2017.0,8.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Vício de Qualidade,Não envio / atraso do boleto ou fatura / dificuldade com o pagamento,Telefone,N,1
Plataforma Web,NE,PE,F,mais de 70 anos,2021.0,6.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado (para servidores públicos ou trabalhadores do setor privado),Atendimento / SAC,SAC - Dificuldade para cancelar o serviço,Não comprei / contratei,S,0
Plataforma Web,CO,DF,F,entre 41 a 50 anos,2023.0,8.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cobrança / Contestação,"Cobrança de tarifas, taxas, valores não previstos / não informados",Internet,S,0
Plataforma Web,CO,GO,M,entre 31 a 40 anos,2024.0,8.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Pacote de Serviços ( Combo ),Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Loja física,S,1
Plataforma Web,SE,SP,O,entre 31 a 40 anos,2020.0,12.0,"Vestuário, Calçados e Têxteis",Demais Produtos,"Vestuário e Artigos de Uso Pessoal (roupa, calçados, jóias, bijuterias, malas, bolsas, etc)",Atendimento / SAC,Má qualidade no atendimento (descortesia / despreparo/ constrangimento),Loja física,N,1
Plataforma Web,SE,MG,M,entre 21 a 30 anos,2021.0,2.0,Transporte Aéreo,Transportes,Aéreo,Contrato / Oferta,Dificuldade / demora para alterar o contrato de serviço (alteração de voo),Internet,S,0
Plataforma Web,SE,MG,F,entre 31 a 40 anos,2022.0,3.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Conta corrente / Salário / Poupança /Conta Aposentadoria,Cobrança / Contestação,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,Não comprei / contratei,N,1
Plataforma Web,SE,MG,F,entre 31 a 40 anos,2021.0,12.0,Transporte Aéreo,Transportes,Aéreo,Vício de Qualidade,Negativa de embarque de passageiro (preterição / overbooking),Internet,S,0
Plataforma Web,S,RS,M,entre 31 a 40 anos,2018.0,1.0,Comércio Eletrônico,Produtos de Telefonia e Informática,"Acessórios e periféricos (monitor, impressora, pendrive, hd externo, cd dvd, outras midias, roteador, software, scanner etc)",Entrega do Produto,Não entrega / demora na entrega do produto,Internet,S,1
Plataforma Web,SE,SP,M,entre 41 a 50 anos,2022.0,9.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cobrança / Contestação,"Cobrança de tarifas, taxas, valores não previstos / não informados",Loja física,S,1
Plataforma Web,NE,RN,F,entre 51 a 60 anos,2021.0,12.0,Empresas de Intermediação de Serviços / Negócios,Demais Serviços,Serviços de entrega / delivery,Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Não comprei / contratei,N,0
Plataforma Web,SE,SP,F,entre 31 a 40 anos,2016.0,12.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Pacote de Serviços ( Combo ),Vício de Qualidade,Não envio / atraso do boleto ou fatura / dificuldade com o pagamento,Telefone,S,0
Plataforma Web,S,RS,M,entre 31 a 40 anos,2017.0,1.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,TV por Assinatura,Vício de Qualidade,Suspensão ou desligamento indevido do serviço,Telefone,S,1
Plataforma Web,SE,SP,F,entre 41 a 50 anos,2021.0,11.0,Transporte Aéreo,Transportes,Aéreo,Contrato / Oferta,"Dificuldades com Programas de Fidelidade / Pontuação (resgate, alteração, transferência etc)",Internet,S,1
Plataforma Web,NE,BA,M,entre 31 a 40 anos,2017.0,9.0,Transporte Aéreo,Demais Serviços,"Programas de Fidelidade / Benefícios (pontos, milhagem etc)",Entrega do Produto,Não entrega / demora na entrega do produto,Internet,S,0
Plataforma Web,SE,MG,M,entre 31 a 40 anos,2021.0,9.0,"Perfumaria, Cosméticos e Higiene Pessoal",Demais Produtos,"Perfumaria, cosméticos e higiene pessoal",Dados Pessoais e Privacidade,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",Não comprei / contratei,S,0
Plataforma Web,SE,SP,M,entre 31 a 40 anos,2017.0,9.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Internet Fixa,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Internet,S,1
Plataforma Web,SE,SP,M,entre 21 a 30 anos,2021.0,12.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Produtos de Telefonia e Informática,Aparelho celular,Cobrança / Contestação,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,Telefone,S,1
Plataforma Web,SE,SP,M,entre 61 a 70 anos,2022.0,1.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cobrança / Contestação,Cobrança em duplicidade / Cobrança referente a pagamento já efetuado,Não comprei / contratei,S,0
Plataforma Web,NE,PB,M,entre 21 a 30 anos,2024.0,3.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cobrança / Contestação,"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",Internet,S,0
Plataforma Web,CO,DF,F,entre 31 a 40 anos,2023.0,4.0,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,"Negativação indevida (SPC, Serasa, SCPC etc)",Internet,S,1
Plataforma Web,NE,PE,M,entre 21 a 30 anos,2024.0,2.0,Empresas de Serviços Postais e Logística,Transportes,Cargas e Encomendas,Atendimento / SAC,Má qualidade no atendimento (descortesia / despreparo/ constrangimento),Loja física,S,1
Plataforma Web,SE,MG,F,entre 51 a 60 anos,2020.0,9.0,Agua e Saneamento,"Água, Energia, Gás",Água e Esgoto,Atendimento / SAC,Má qualidade no atendimento (descortesia / despreparo/ constrangimento),Domicílio,S,0
Plataforma Web,S,RS,F,entre 21 a 30 anos,2017.0,8.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,TV por Assinatura,Atendimento / SAC,SAC - Descortesia / despreparo / demora,Telefone,S,1
Plataforma Web,SE,SP,M,entre 31 a 40 anos,2021.0,4.0,Transporte Aéreo,Transportes,Aéreo,Cobrança / Contestação,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,S,1
Plataforma Web,SE,MG,F,entre 41 a 50 anos,2016.0,6.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,TV por Assinatura,Cobrança / Contestação,Cobrança após cancelamento do serviço,Domicílio,S,1
Plataforma Web,SE,MG,M,entre 31 a 40 anos,2021.0,4.0,Operadoras de Planos de Saúde e Administradoras de Benefícios,Saúde,"Plano de Saúde (convênio, autogestão, seguro saúde )",Cobrança / Contestação,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Telefone,S,0
Plataforma Web,NE,BA,F,entre 51 a 60 anos,2020.0,9.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,TV por Assinatura,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Não comprei / contratei,S,1
Não informado,S,RS,F,mais de 70 anos,Não informado,Não informado,Varejo,Demais Produtos,Móveis e Colchões,Cobrança / Contestação,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Loja física,S,0
Plataforma Web,SE,RJ,F,entre 41 a 50 anos,2017.0,5.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cobrança / Contestação,"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",Loja física,S,1
Plataforma Web,S,SC,M,entre 21 a 30 anos,2020.0,11.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Pacote de Serviços ( Combo ),Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Internet,N,1
Plataforma Web,NE,RN,F,entre 61 a 70 anos,2023.0,9.0,Transporte Aéreo,Transportes,Aéreo,Cobrança / Contestação,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Loja física,S,0
Plataforma Web,SE,SP,F,entre 31 a 40 anos,2017.0,3.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Internet Fixa,Vício de Qualidade,"Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)",Internet,S,1
Plataforma Web,SE,SP,M,entre 21 a 30 anos,2024.0,3.0,"Montadoras, Concessionárias e Prestadores de Serviços Automotivos",Demais Serviços,Serviços automotivos,Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Não comprei / contratei,S,1
Plataforma Web,SE,SP,F,entre 41 a 50 anos,2023.0,5.0,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Internet,N,1
Plataforma Web,SE,RJ,M,entre 61 a 70 anos,2024.0,11.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),Vício de Qualidade,Margem consignável - bloqueio/ contestação,Telefone,S,0
Plataforma Web,S,PR,F,entre 21 a 30 anos,2022.0,11.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado (para servidores públicos ou trabalhadores do setor privado),Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Telefone,N,1
Plataforma Web,SE,SP,M,entre 41 a 50 anos,2020.0,8.0,Varejo,Produtos de Telefonia e Informática,Aparelho celular,Cobrança / Contestação,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,Loja física,S,0
Plataforma Web,CO,DF,M,entre 41 a 50 anos,2018.0,11.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Móvel Pós-paga,Cobrança / Contestação,Renegociação / parcelamento de dívida,Não comprei / contratei,S,1
Plataforma Web,S,PR,F,entre 51 a 60 anos,2020.0,11.0,Transporte Aéreo,Transportes,Aéreo,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Internet,S,1
Plataforma Web,CO,DF,F,entre 31 a 40 anos,2021.0,10.0,Transporte Aéreo,Transportes,Aéreo,Contrato / Oferta,Dificuldade / demora para alterar o contrato de serviço (alteração de voo),Internet,S,1
Plataforma Web,SE,SP,M,entre 31 a 40 anos,2017.0,7.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Móvel Pré-paga,Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Loja física,S,0
Plataforma Web,SE,SP,M,entre 41 a 50 anos,2017.0,2.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Móvel Pós-paga,Cobrança / Contestação,Cobrança após cancelamento do serviço,Telefone,S,1
Plataforma Web,SE,SP,M,entre 41 a 50 anos,2021.0,11.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cobrança / Contestação,"Cobrança de tarifas, taxas, valores não previstos / não informados",Internet,S,0
Plataforma Web,NE,PE,F,entre 31 a 40 anos,2018.0,1.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,TV por Assinatura,Vício de Qualidade,Suspensão ou desligamento indevido do serviço,Telefone,N,0
Plataforma Web,CO,DF,M,entre 51 a 60 anos,2021.0,12.0,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Atendimento / SAC,SAC - Demanda não resolvida / não respondida / respondida após o prazo,Não comprei / contratei,S,0
Plataforma Web,SE,SP,M,entre 61 a 70 anos,2023.0,5.0,Empresas de Serviços Postais e Logística,Demais Serviços,Serviços Postais,Entrega do Produto,Não entrega / demora na entrega do produto,Internet,S,1
Plataforma Web,SE,RJ,M,entre 41 a 50 anos,2024.0,11.0,"Viagens, Turismo e Hospedagem",Turismo/Viagens,Pacote / excursão / agência de turismo,Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,S,0
Plataforma Web,SE,MG,M,entre 31 a 40 anos,2021.0,9.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,TV por Assinatura,Vício de Qualidade,Dificuldade para alterar/ ativar serviços,Telefone,S,0
Plataforma Web,SE,MG,F,entre 31 a 40 anos,2024.0,8.0,Empresas de Pagamento Eletrônico,Serviços Financeiros,Serviço de pagamento online/ via celular/ maquininha,Dados Pessoais e Privacidade,Dificuldade de cancelamento / eliminação de dados / revogação do consentimento,Internet,S,0
Plataforma Web,CO,GO,M,entre 21 a 30 anos,2021.0,11.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Produtos de Telefonia e Informática,Aparelho celular,Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Não comprei / contratei,S,1
Plataforma Web,SE,SP,F,entre 51 a 60 anos,2018.0,2.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Produtos de Telefonia e Informática,Aparelho celular,Cobrança / Contestação,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,Não comprei / contratei,N,1
Plataforma Web,S,PR,F,entre 21 a 30 anos,2016.0,5.0,Transporte Aéreo,Transportes,Aéreo,Vício de Qualidade,Cancelamento de voo,Internet,S,1
